Data taken from https://www.sustainablejersey.com/fileadmin/media/resources/Data_Center/Community_Profile_Data_by_Municipality_3.12.25.xlsx ,,,,,Population Characteristics,,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,,,,Vehicles Available by Occupied Household,,,,Means of Transportation to Work,,,,,,,
Municipality,County,ACS Year,Square Miles,Residential Density (Housing Units / Sq Mile),Population,% White,% Black or African American,% Hispanic or Latino Origin*,% American Indian and Alaska Native,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Median Household Income,Percent of Population in Poverty,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties,Total Housing Units*,Total Occupied Housing Units,% Occupied housing units,% Owner-occupied,% Renter-occupied,<75% Occupied*,2020 or later,2010 to 2019 *,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, van, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Coal or coke,Wood,Solar Energy,Other fuel,No fuel used,No vehicles available,1 vehicle available,2 vehicles available,3 or more vehicles available,Total Workers 16 Years and Over,"Car, truck, or van -- drove alone","Car, truck, or van -- carpooled",Public transportation (excluding taxicab),Walked,Other means,Worked from home,Mean travel time to work (minutes)
Boonton Twp,Morris,2023,8.1,188,"4,392",90.30%,1.30%,5.10%,0.00%,3.20%,0.00%,0.00%,0.10%,"$186,964",1.10%,20.7,464,19,"1,525","1,398",92%,93%,7%,,13,85,38,165,243,279,196,277,20,209,"1,354",65,22,41,0,0,43,0,0,36.10%,3.40%,9.00%,49.00%,0.00%,0.90%,0.00%,0.70%,0.90%,16,222,527,633,"2,039",60.50%,8.00%,2.10%,0.40%,2.00%,27.00%,25.7
Bordentown City,Burlington,2023,0.9,"2,240","4,006",78.50%,6.10%,7.30%,0.00%,2.60%,0.00%,0.00%,5.60%,"$91,208",5.80%,30.5,233,121,"2,016","1,830",91%,52%,48%,,0,69,13,83,73,144,94,313,31,"1,196",646,416,206,224,128,159,237,0,0,76.00%,17.50%,0.40%,4.60%,0.00%,0.00%,0.00%,0.50%,0.90%,49,891,638,252,"2,032",81.50%,4.60%,0.80%,0.90%,0.30%,11.80%,25.7
Bordentown Twp,Burlington,2023,8.7,533,"11,898",66.80%,11.20%,9.90%,0.00%,9.00%,0.00%,0.10%,3.10%,"$115,507",3.10%,21.5,431,228,"4,633","4,522",98%,71%,29%,,92,253,"1,061",577,440,344,597,943,215,111,"2,659",791,216,89,184,291,403,0,0,82.80%,11.90%,1.10%,3.10%,0.00%,0.00%,0.80%,0.30%,0.00%,100,"1,321","2,128",973,"6,351",72.10%,6.20%,1.00%,0.40%,1.10%,19.10%,26.4
Bound Brook Boro,Somerset,2023,1.7,"2,814","12,023",30.90%,6.40%,55.90%,0.00%,3.60%,0.00%,1.50%,1.80%,"$80,876",10.60%,35.6,148,212,"4,783","4,712",99%,42%,58%,,28,665,96,278,130,390,436,801,732,"1,227","1,969",487,584,557,213,172,801,0,0,70.10%,23.20%,0.10%,3.40%,0.10%,0.00%,0.10%,1.00%,1.90%,565,"2,106","1,353",688,"6,746",65.20%,15.40%,4.10%,0.90%,7.10%,7.40%,22.5
Bradley Beach Boro,Monmouth,2023,0.6,"4,727","4,264",73.60%,0.70%,16.50%,0.00%,6.00%,0.00%,2.60%,0.70%,"$94,722",6.00%,29.9,250,93,"2,836","2,020",71%,48%,52%,Yes,28,74,329,132,316,535,246,133,211,832,"1,419",175,175,193,176,153,545,0,0,73.80%,21.20%,3.10%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,68,"1,056",771,125,"2,490",57.10%,7.70%,4.80%,2.90%,3.10%,24.40%,30.9
Branchburg Twp,Somerset,2023,20.1,290,"14,948",70.10%,7.50%,7.60%,0.30%,12.10%,0.00%,0.30%,2.10%,"$169,087",3.30%,19.1,493,330,"5,838","5,690",97%,85%,15%,,22,115,591,"1,426","1,532",793,439,450,88,382,"4,053",711,160,79,157,81,387,210,0,85.60%,5.50%,2.70%,4.30%,0.00%,1.10%,0.20%,0.60%,0.00%,160,"1,332","2,452","1,746","8,576",73.50%,4.90%,1.40%,1.30%,1.40%,17.50%,31.1
Branchville Boro,Sussex,2023,0.6,642,724,88.70%,2.90%,5.10%,0.10%,1.50%,0.00%,0.00%,1.70%,"$124,167",4.80%,33.3,188,54,385,296,77%,61%,40%,,0,0,11,2,70,14,26,59,15,188,218,7,43,44,63,3,0,7,0,25.70%,36.80%,6.40%,29.10%,0.00%,2.00%,0.00%,0.00%,0.00%,8,65,132,91,466,79.40%,1.50%,0.00%,1.90%,1.10%,16.10%,26.4
Brick Twp,Ocean,2023,25.6,"1,302","74,807",79.00%,3.20%,12.40%,0.00%,1.70%,0.00%,1.00%,2.70%,"$101,170",5.10%,29,265,806,"33,331","30,077",90%,82%,18%,,187,"1,027","1,794","4,814","5,738","8,032","4,840","4,769","1,164",966,"26,063","3,656",267,475,589,395,"1,767",119,0,81.70%,13.90%,1.70%,2.00%,0.00%,0.00%,0.30%,0.10%,0.20%,"1,162","10,015","11,635","7,265","38,488",78.90%,7.60%,1.60%,0.90%,1.10%,10.00%,29
Bridgeton City,Cumberland,2023,6.2,"1,239","26,836",10.00%,30.30%,57.00%,0.30%,0.20%,0.00%,0.30%,2.00%,"$46,124",31.70%,76.7,7,436,"7,681","7,097",92%,35%,65%,,0,208,666,439,439,"1,035",618,"1,463","1,068","1,745","2,873","2,274",628,547,379,407,564,9,0,66.10%,10.60%,1.30%,21.00%,0.00%,0.50%,0.00%,0.30%,0.20%,"1,283","3,205","1,587","1,022","9,234",62.40%,27.10%,2.00%,2.70%,2.10%,3.60%,28.2
Bridgewater Twp,Somerset,2023,31.9,529,"45,943",58.10%,3.10%,10.60%,0.10%,23.80%,0.00%,0.90%,3.40%,"$170,641",4.00%,21.9,420,464,"16,870","16,388",97%,84%,16%,,0,337,997,"4,343","2,930","1,693","3,190","2,046",522,812,"11,890","2,160",159,460,644,499,"1,037",8,13,84.10%,10.30%,1.60%,3.30%,0.00%,0.30%,0.00%,0.00%,0.40%,540,"3,822","7,369","4,657","23,143",66.20%,5.10%,3.20%,0.30%,0.70%,24.50%,31.7
Brielle Boro,Monmouth,2023,1.8,"1,163","4,960",91.50%,0.60%,4.50%,0.70%,1.20%,0.00%,0.20%,1.30%,"$167,754",1.40%,19.1,491,83,"2,093","1,884",90%,92%,8%,,0,46,118,95,258,292,353,460,139,332,"1,651",208,80,141,0,0,0,13,0,92.50%,5.00%,0.00%,1.40%,0.00%,0.30%,0.00%,0.00%,0.80%,114,418,970,382,"2,443",71.90%,4.90%,0.90%,1.90%,0.00%,20.40%,29.5
Brigantine City,Atlantic,2023,6.5,"1,437","7,702",84.80%,1.10%,6.10%,0.00%,6.40%,0.00%,0.50%,1.10%,"$88,906",9.40%,34.8,162,111,"9,340","3,954",42%,75%,25%,Yes,99,388,772,617,"2,811","1,389","1,069","1,488",351,356,"4,722","1,262",876,732,284,484,980,0,0,78.20%,18.40%,1.60%,0.10%,0.00%,0.10%,0.30%,0.00%,1.30%,266,"1,625","1,619",444,"3,863",70.10%,5.40%,3.20%,0.50%,1.60%,19.30%,24.9
Brooklawn Boro,Camden,2023,0.5,"1,934","1,788",67.50%,12.00%,11.60%,0.00%,7.40%,0.00%,0.30%,1.30%,"$55,882",10.80%,54.2,25,67,967,886,92%,78%,22%,,0,0,3,0,26,19,76,132,166,545,454,402,37,56,10,0,8,0,0,85.70%,3.80%,0.60%,9.00%,0.00%,0.00%,0.20%,0.70%,0.00%,55,407,353,71,742,71.80%,10.00%,4.20%,5.80%,0.80%,7.40%,21.3
Buena Boro,Atlantic,2023,7.6,231,"4,500",56.80%,3.00%,30.60%,0.00%,7.90%,0.20%,0.00%,1.70%,"$78,393",6.00%,42.8,82,99,"1,757","1,633",93%,68%,32%,,0,95,206,113,116,207,224,236,223,337,"1,278",67,108,87,26,14,158,19,0,65.60%,23.70%,0.00%,10.30%,0.00%,0.00%,0.00%,0.40%,0.00%,125,360,563,585,"2,115",86.40%,6.20%,0.00%,0.50%,1.60%,5.30%,30
Buena Vista Twp,Atlantic,2023,41.1,78,"7,064",71.20%,6.30%,17.70%,0.10%,1.90%,0.00%,0.00%,2.80%,"$79,436",8.10%,43.4,73,108,"3,219","2,983",93%,87%,13%,,0,36,339,152,368,418,907,659,72,268,"2,727",37,20,0,32,52,17,334,0,71.70%,12.70%,4.80%,7.60%,0.00%,3.20%,0.00%,0.00%,0.00%,80,941,"1,175",787,"3,397",79.80%,7.20%,0.00%,4.10%,1.70%,7.10%,35.7
Burlington City,Burlington,2023,3,"1,356","9,904",41.90%,31.70%,15.10%,0.00%,1.40%,0.00%,0.20%,9.80%,"$78,009",16.20%,44.5,64,286,"4,068","3,645",90%,63%,37%,,134,159,78,271,150,382,272,549,363,"1,710","1,838","1,286",173,170,153,192,256,0,0,69.80%,21.00%,2.10%,5.80%,0.00%,0.00%,0.00%,0.00%,1.30%,340,"1,212","1,463",630,"4,573",74.10%,12.50%,1.80%,1.20%,1.60%,8.70%,30.7
Burlington Twp,Burlington,2023,13.5,697,"23,981",43.30%,35.40%,6.30%,0.00%,9.50%,0.00%,0.20%,5.40%,"$96,955",9.10%,33.3,187,268,"9,407","8,942",95%,76%,24%,,0,488,"1,150","2,917",547,"1,017","1,119",994,454,721,"5,858","1,253",19,335,163,731,"1,048",0,0,75.30%,21.50%,0.80%,0.80%,0.00%,0.00%,0.50%,0.30%,0.80%,781,"2,714","2,977","2,470","12,567",76.50%,5.30%,4.30%,0.60%,1.50%,11.70%,31.5
Butler Boro,Morris,2023,2,"1,786","8,072",67.60%,1.30%,24.80%,0.00%,4.40%,0.00%,0.20%,1.70%,"$110,375",9.40%,26.4,331,193,"3,571","3,515",98%,68%,32%,,0,73,406,291,162,412,586,620,261,760,"2,131",282,316,201,113,192,336,0,0,81.80%,12.60%,1.30%,4.00%,0.00%,0.00%,0.00%,0.00%,0.30%,225,"1,152","1,538",600,"4,621",72.10%,4.90%,5.70%,0.30%,0.80%,16.30%,34.5
Byram Twp,Sussex,2023,21.5,153,"8,082",78.60%,1.30%,13.50%,0.00%,2.00%,0.00%,0.40%,4.20%,"$137,367",2.40%,23,401,117,"3,297","2,999",91%,96%,4%,,20,30,211,185,327,954,580,385,198,407,"3,216",16,6,36,7,0,16,0,0,4.50%,14.90%,11.80%,65.70%,0.00%,2.40%,0.20%,0.50%,0.00%,54,636,"1,410",899,"4,406",78.30%,3.20%,2.40%,0.10%,0.40%,15.70%,35.5
Caldwell Boro,Essex,2023,1.2,"3,228","8,898",66.80%,4.70%,14.00%,0.30%,12.60%,0.00%,0.40%,1.20%,"$101,196",5.90%,23.1,399,183,"3,874","3,797",98%,45%,55%,,0,126,168,225,410,207,700,580,341,"1,117","1,226",288,439,275,228,419,983,16,0,79.20%,15.00%,1.40%,2.40%,0.00%,0.00%,0.00%,2.00%,0.00%,133,"1,881","1,306",477,"4,929",65.50%,4.80%,4.80%,4.10%,1.10%,19.70%,29.3
Califon Boro,Hunterdon,2023,1,443,"1,065",86.90%,0.20%,8.50%,0.00%,1.70%,0.00%,0.00%,2.80%,"$130,938",8.80%,25.2,354,30,443,443,100%,87%,13%,,0,2,17,23,62,60,49,35,11,184,396,8,24,11,4,0,0,0,0,43.10%,12.20%,2.70%,38.40%,0.00%,2.50%,0.50%,0.70%,0.00%,4,138,189,112,638,76.30%,4.10%,0.60%,2.40%,0.80%,15.80%,34.3
Camden City,Camden,2023,8.9,"3,137","71,471",3.60%,37.70%,54.20%,0.10%,1.70%,0.00%,0.30%,2.40%,"$40,450",28.50%,100,1,"1,969","27,920","24,697",88%,36%,64%,,17,"1,233","1,467","1,116","1,227","1,754","3,509","3,313","3,372","10,912","2,981","15,258","2,715","1,425","1,022","1,341","3,036",120,22,64.50%,25.60%,2.20%,4.50%,0.30%,0.00%,0.10%,0.90%,1.90%,"7,861","9,948","4,806","2,082","25,851",53.00%,21.10%,11.40%,4.00%,5.20%,5.20%,25.1
Cape May City,Cape May,2023,2.5,"1,559","2,789",79.10%,1.80%,13.00%,0.00%,0.00%,0.00%,0.00%,6.10%,"$57,230",7.50%,43,81,253,"3,898","1,369",35%,63%,37%,Yes,10,54,199,221,651,906,237,369,100,"1,151","2,006","1,152",179,245,76,25,215,0,0,61.30%,36.40%,0.00%,0.40%,0.00%,0.00%,0.00%,0.70%,1.20%,110,659,502,98,"1,373",72.30%,3.70%,0.10%,9.00%,6.60%,8.40%,17.7
Cape May Point Boro,Cape May,2023,0.3,"2,183",155,76.80%,17.40%,0.00%,0.00%,3.90%,0.00%,0.00%,1.90%,"$88,333",12.30%,35.1,160,1,655,84,13%,100%,0%,Yes,7,52,73,38,103,39,36,77,42,188,596,24,13,9,0,0,0,13,0,59.50%,7.10%,2.40%,27.40%,0.00%,0.00%,0.00%,0.00%,3.60%,0,49,32,3,62,46.80%,8.10%,0.00%,33.90%,0.00%,11.30%,17.4
Carlstadt Boro,Bergen,2023,3.9,701,"6,343",68.20%,0.00%,19.80%,0.20%,8.70%,0.00%,1.00%,2.00%,"$94,854",10.50%,32.4,204,451,"2,733","2,639",97%,61%,39%,,24,33,44,192,80,289,289,699,267,816,"1,320",199,904,248,62,0,0,0,0,85.70%,6.40%,2.20%,5.00%,0.00%,0.00%,0.00%,0.60%,0.00%,310,965,"1,101",263,"3,576",59.50%,8.00%,17.90%,3.50%,6.10%,5.00%,28.5
Carneys Point Twp,Salem,2023,16.9,239,"8,611",60.70%,16.90%,16.30%,0.00%,2.40%,0.00%,0.00%,3.80%,"$74,925",11.10%,43.8,69,173,"4,047","3,641",90%,63%,37%,,13,127,260,217,350,707,523,733,481,636,"2,739",91,87,112,10,401,442,165,0,64.20%,15.90%,3.30%,16.10%,0.40%,0.00%,0.00%,0.00%,0.00%,577,"1,096","1,308",660,"4,194",74.20%,13.20%,0.20%,1.40%,1.90%,9.10%,23.2
Carteret Boro,Middlesex,2023,4.4,"1,978","25,187",22.40%,16.60%,34.00%,0.00%,24.50%,0.00%,0.20%,2.50%,"$87,553",10.00%,42.7,84,200,"8,702","8,317",96%,55%,45%,,4,631,"1,071",280,494,536,"1,308","2,481",689,"1,208","4,432",502,"1,650",419,426,263,772,238,0,76.70%,9.10%,3.00%,8.40%,0.00%,0.00%,1.20%,1.00%,0.60%,671,"2,588","2,955","2,103","11,668",68.30%,9.90%,7.80%,2.40%,2.40%,9.20%,32.2
Cedar Grove Twp,Essex,2023,4.2,"1,208","13,252",77.10%,4.50%,7.90%,0.00%,7.90%,0.00%,0.40%,2.20%,"$153,038",3.40%,21.6,427,199,"5,075","4,942",97%,83%,17%,,48,363,217,181,501,189,718,"1,785",571,502,"3,478",497,130,208,158,224,320,44,16,85.20%,9.20%,2.30%,2.00%,0.00%,0.00%,0.00%,0.10%,1.20%,297,"1,692","2,181",772,"6,128",58.70%,6.10%,11.70%,0.30%,1.40%,21.70%,34.4
Chatham Boro,Morris,2023,2.3,"1,306","9,219",80.00%,0.50%,5.40%,0.00%,10.50%,0.00%,0.40%,3.10%,"250,000+",2.50%,11.7,562,231,"3,003","2,946",98%,82%,19%,,23,218,98,173,163,88,259,537,474,970,"2,394",93,35,238,42,30,171,0,0,85.20%,7.00%,3.20%,2.90%,0.00%,0.00%,0.00%,0.50%,1.10%,81,889,"1,544",432,"4,422",45.40%,3.10%,17.30%,1.00%,0.70%,32.60%,38.6
Chatham Twp,Morris,2023,9.1,442,"11,001",76.80%,0.50%,5.60%,0.00%,12.40%,0.00%,0.00%,4.70%,"$223,380",1.80%,13.5,551,36,"4,025","3,935",98%,83%,17%,,24,178,380,358,667,540,432,778,363,305,"2,755",352,21,118,402,207,170,0,0,86.10%,10.50%,1.20%,2.00%,0.00%,0.00%,0.00%,0.00%,0.20%,183,"1,168","1,729",855,"4,694",59.80%,3.40%,9.90%,0.60%,0.30%,26.00%,32
Cherry Hill Twp,Camden,2023,24.1,"1,250","75,641",66.80%,6.50%,9.00%,0.00%,13.30%,0.10%,1.40%,3.00%,"$122,485",7.40%,26.4,330,1127,"30,124","28,737",95%,77%,23%,,138,"1,303",877,"2,295","3,166","6,131","8,437","5,529","1,214","1,034","20,261","2,623",161,692,"1,088",313,"4,827",159,0,80.60%,15.10%,0.90%,2.20%,0.00%,0.50%,0.10%,0.30%,0.40%,"1,312","8,510","13,180","5,735","37,907",66.50%,6.20%,4.20%,1.10%,1.70%,20.30%,27.4
Chesilhurst Boro,Camden,2023,1.7,327,"1,340",39.90%,35.10%,20.60%,0.60%,0.00%,0.00%,0.30%,3.60%,"$89,904",11.70%,51,40,21,556,496,89%,88%,12%,,0,32,69,45,42,189,70,47,34,28,415,14,0,3,0,0,41,83,0,64.10%,19.80%,5.00%,9.70%,0.00%,0.80%,0.00%,0.60%,0.00%,41,189,138,128,681,65.90%,19.50%,7.00%,0.90%,0.00%,6.60%,37.6
Chester Boro,Morris,2023,1.6,346,"1,359",81.20%,1.30%,9.40%,0.00%,2.70%,0.00%,0.00%,5.30%,"$152,578",7.50%,22.4,411,132,554,549,99%,76%,24%,,0,22,66,70,33,94,91,39,36,103,412,25,37,0,5,12,43,20,0,70.50%,6.90%,0.00%,22.60%,0.00%,0.00%,0.00%,0.00%,0.00%,42,132,272,103,714,70.30%,0.40%,2.20%,4.20%,0.30%,22.50%,29.9
Chester Twp,Morris,2023,29.1,93,"7,709",88.70%,0.80%,3.60%,0.00%,3.70%,0.00%,0.70%,2.50%,"250,000+",2.50%,15.4,545,94,"2,692","2,583",96%,97%,4%,,0,84,355,505,616,205,403,347,80,97,"2,613",79,0,0,0,0,0,0,0,70.00%,6.80%,4.50%,17.50%,0.00%,0.30%,0.40%,0.40%,0.00%,50,239,"1,327",967,"3,482",65.90%,4.70%,0.30%,1.60%,0.60%,26.90%,36.8
Chesterfield Twp,Burlington,2023,21.3,121,"9,213",48.60%,11.90%,5.80%,0.00%,29.00%,0.00%,1.00%,3.60%,"$193,224",2.90%,20,479,43,"2,573","2,472",96%,93%,7%,,41,718,898,219,169,59,121,157,21,170,"2,005",433,33,38,0,41,23,0,0,78.50%,4.90%,2.80%,13.30%,0.00%,0.00%,0.00%,0.50%,0.00%,20,376,"1,318",758,"4,268",63.70%,4.20%,4.70%,1.40%,0.00%,26.00%,34.8
Cinnaminson Twp,Burlington,2023,7.4,849,"17,243",82.00%,5.70%,5.00%,0.00%,2.30%,0.00%,0.40%,4.50%,"$123,542",4.50%,22.9,405,269,"6,284","6,149",98%,85%,15%,,105,595,709,360,208,604,"2,127","1,139",187,250,"4,893",529,74,111,194,227,250,0,6,86.60%,9.40%,0.20%,3.60%,0.00%,0.00%,0.00%,0.10%,0.00%,143,"1,560","2,992","1,454","8,530",78.10%,3.70%,3.10%,0.60%,1.20%,13.30%,28.2
City of Orange Twp,Essex,2023,2.2,"6,116","33,973",5.30%,57.50%,29.80%,0.20%,2.30%,0.00%,0.30%,4.70%,"$53,306",21.00%,57.2,19,588,"13,456","12,592",94%,24%,76%,,105,620,909,403,937,"1,482","1,727","2,351","1,428","3,494","2,238","1,159","1,641","1,698","1,176",990,"4,507",47,0,69.20%,20.50%,3.30%,3.00%,0.00%,0.00%,0.50%,1.00%,2.50%,"3,584","5,905","2,410",693,"14,708",54.30%,9.00%,19.00%,2.20%,9.50%,6.10%,30.9
Clark Twp,Union,2023,4.3,"1,415","15,410",82.60%,2.20%,9.40%,0.00%,3.90%,0.00%,0.40%,1.50%,"$122,610",2.90%,22.7,408,242,"6,084","5,949",98%,76%,24%,,50,326,294,171,234,769,"1,563","1,861",633,183,"4,520",213,278,117,120,131,705,0,0,84.40%,7.40%,2.20%,5.10%,0.00%,0.00%,0.00%,0.00%,1.00%,194,"1,968","2,541","1,246","7,540",72.40%,4.70%,4.50%,0.80%,2.00%,15.60%,29.7
Clayton Boro,Gloucester,2023,7.1,520,"8,867",67.20%,20.10%,9.00%,0.00%,0.20%,0.00%,0.30%,3.20%,"$89,375",7.00%,37,130,98,"3,690","3,351",91%,74%,26%,,0,383,467,400,228,637,241,486,220,628,"2,884",52,54,117,18,282,276,7,0,76.90%,15.80%,2.00%,4.50%,0.00%,0.50%,0.30%,0.00%,0.00%,107,"1,106","1,309",829,"3,749",82.20%,6.70%,3.00%,1.10%,0.00%,7.00%,32.9
Clementon Boro,Camden,2023,1.9,"1,272","5,351",62.00%,15.60%,19.00%,0.00%,0.00%,0.00%,0.10%,3.30%,"$69,536",12.10%,51.1,38,83,"2,416","2,204",91%,52%,48%,,0,92,2,101,283,773,255,381,83,446,"1,338",284,95,0,83,109,507,0,0,69.00%,23.40%,1.30%,6.30%,0.00%,0.00%,0.00%,0.00%,0.00%,337,698,834,335,"2,553",78.70%,6.30%,3.60%,4.20%,0.00%,7.40%,23.6
Cliffside Park Boro,Bergen,2023,1,"11,223","25,580",45.00%,3.20%,32.40%,0.20%,13.20%,0.00%,2.00%,4.10%,"$94,960",11.30%,34.3,171,238,"11,223","10,615",95%,50%,50%,,54,943,787,627,969,"2,251",843,794,844,"3,111","1,967","1,257","2,290",810,828,756,"3,278",37,0,52.80%,33.10%,4.50%,5.20%,0.00%,0.00%,0.00%,3.20%,1.20%,"1,297","5,674","2,857",787,"12,705",46.10%,10.40%,17.60%,5.30%,3.10%,17.60%,34.8
Clifton City,Passaic,2023,11.3,"3,015","89,247",46.20%,3.70%,39.40%,0.00%,7.70%,0.00%,0.40%,2.70%,"$99,003",7.40%,36.2,137,"1,526","34,064","32,897",97%,59%,41%,,161,789,"1,888",773,"1,478","2,149","2,936","8,105","5,623","10,162","15,417","2,335","7,167","3,072","1,892","1,345","2,737",99,0,84.60%,7.70%,2.30%,3.90%,0.00%,0.00%,0.10%,0.60%,0.70%,"3,138","12,441","11,678","5,640","45,387",68.60%,7.60%,9.60%,1.90%,1.80%,10.40%,29.2
Clinton Town,Hunterdon,2023,1.3,842,"2,784",76.10%,0.70%,10.00%,0.00%,8.60%,0.00%,1.40%,3.30%,"$142,563",2.30%,24.7,374,147,"1,094","1,049",96%,73%,27%,,0,77,59,262,72,120,142,81,39,242,609,116,117,56,26,64,106,0,0,64.30%,13.40%,1.70%,20.30%,0.00%,0.00%,0.00%,0.00%,0.30%,50,306,416,277,"1,491",70.80%,4.60%,0.30%,1.50%,2.70%,20.10%,30.2
Clinton Twp,Hunterdon,2023,29.9,161,"13,347",76.50%,5.10%,7.70%,0.00%,5.80%,0.00%,0.10%,4.80%,"$153,771",2.60%,20.7,463,278,"4,807","4,742",99%,90%,10%,,0,86,346,"1,138","1,231",726,495,271,67,447,"3,659",621,71,89,157,170,40,0,0,54.10%,5.80%,8.80%,29.80%,0.00%,0.40%,0.70%,0.40%,0.00%,50,"1,077","2,006","1,609","6,088",68.50%,2.80%,2.00%,0.70%,1.70%,24.20%,37.4
Closter Boro,Bergen,2023,3.2,851,"8,544",47.80%,2.80%,9.90%,0.50%,32.20%,0.00%,0.90%,6.00%,"$187,500",7.20%,23.5,394,173,"2,723","2,632",97%,82%,18%,,19,114,73,179,188,193,371,817,240,529,"2,486",13,147,30,9,15,23,0,0,82.60%,9.10%,4.00%,3.30%,0.00%,0.00%,0.30%,0.00%,0.70%,74,702,"1,194",662,"4,267",58.20%,7.90%,8.10%,3.10%,1.40%,21.20%,33.4
Collingswood Boro,Camden,2023,1.8,"3,894","14,163",75.90%,10.80%,8.00%,0.10%,1.00%,0.00%,0.20%,4.00%,"$83,917",10.80%,32.9,194,289,"7,009","6,611",94%,54%,46%,,0,127,126,183,214,600,661,911,926,"3,261","2,663","1,042",740,360,192,336,"1,671",5,0,72.70%,18.50%,0.70%,6.30%,0.00%,0.00%,0.10%,0.30%,1.40%,771,"3,013","2,078",749,"7,836",53.60%,11.80%,11.70%,1.50%,1.60%,19.90%,26.2
Colts Neck Twp,Monmouth,2023,30.7,121,"9,942",83.80%,0.40%,8.30%,0.00%,4.00%,0.00%,0.40%,3.10%,"$184,412",3.60%,16.8,529,73,"3,704","3,604",97%,93%,7%,,10,10,468,904,458,773,758,63,31,229,"3,446",93,25,100,0,0,15,25,0,85.80%,3.00%,0.90%,10.00%,0.00%,0.00%,0.20%,0.00%,0.00%,55,539,"1,664","1,346","5,127",64.80%,6.40%,4.50%,0.30%,0.50%,23.60%,32.7
Commercial Twp,Cumberland,2023,31.9,68,"4,665",73.10%,11.10%,8.50%,0.00%,0.30%,0.00%,0.00%,7.00%,"$52,602",14.70%,55.3,22,75,"2,157","1,942",90%,73%,27%,,33,84,136,49,362,290,278,311,71,543,"1,777",7,29,0,0,0,0,344,0,73.20%,6.10%,3.50%,11.30%,0.00%,5.10%,0.00%,0.00%,0.90%,133,909,526,374,"1,841",78.00%,15.90%,0.00%,0.00%,1.90%,4.20%,30.5
Corbin City,Atlantic,2023,7.7,33,668,92.80%,0.00%,6.00%,0.00%,0.00%,0.00%,0.00%,1.20%,"$88,839",14.50%,39.2,115,16,252,230,91%,88%,12%,,0,19,77,41,22,23,13,16,1,40,196,0,10,0,0,0,0,46,0,23.50%,11.70%,24.80%,14.30%,0.00%,3.50%,0.00%,22.20%,0.00%,0,32,86,112,319,91.50%,2.20%,0.00%,0.00%,0.00%,6.30%,32.3
Cranbury Twp,Middlesex,2023,13.3,109,"4,063",62.70%,4.90%,3.10%,0.00%,24.00%,0.00%,0.50%,4.90%,"$212,250",4.00%,15.6,542,162,"1,447","1,413",98%,89%,11%,,49,72,193,328,249,73,66,102,77,238,"1,223",142,26,6,7,0,43,0,0,86.40%,8.80%,0.50%,3.80%,0.00%,0.50%,0.00%,0.00%,0.00%,41,258,704,410,"2,047",46.40%,8.00%,3.20%,0.90%,2.40%,39.20%,35.7
Cranford Twp,Union,2023,4.8,"2,004","23,841",84.60%,2.10%,7.40%,0.00%,3.00%,0.00%,0.50%,2.30%,"$148,629",2.70%,20.4,467,320,"9,619","9,410",98%,78%,22%,,47,413,245,340,276,414,"1,067","2,303","1,551","2,963","6,968",272,744,227,143,207,"1,058",0,0,79.90%,9.50%,3.00%,6.90%,0.00%,0.10%,0.00%,0.10%,0.30%,589,"2,892","4,046","1,883","12,357",58.50%,3.80%,12.40%,1.40%,1.10%,22.70%,35.4
Cresskill Boro,Bergen,2023,2.1,"1,524","9,101",59.10%,0.60%,11.80%,0.10%,27.70%,0.00%,0.60%,0.10%,"$173,293",2.30%,19.8,480,76,"3,200","3,085",96%,81%,19%,,45,262,377,90,266,216,532,644,376,392,"2,551",181,47,48,0,58,310,5,0,82.90%,13.50%,2.10%,1.50%,0.00%,0.00%,0.00%,0.00%,0.00%,176,778,"1,502",629,"4,522",73.00%,4.10%,4.40%,0.70%,0.30%,17.40%,33.6
Deal Boro,Monmouth,2023,1.2,793,632,79.10%,2.10%,17.30%,0.00%,1.10%,0.00%,0.20%,0.30%,"$77,679",13.60%,28.4,282,15,951,247,26%,61%,39%,Yes,3,27,32,73,27,90,75,68,68,488,809,0,7,6,30,25,59,15,0,82.20%,15.80%,1.20%,0.00%,0.00%,0.00%,0.00%,0.80%,0.00%,13,85,87,62,255,67.80%,6.30%,5.90%,11.40%,0.00%,8.60%,35.5
